"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","SamplePrefix1","SamplePrefix2","SampleID","WaterSampleSuffix","WaterSampleTimestamp","TimestampField","WaterSampleAuthor","StationDeposit","Project","Area","SiteName","ObservationType","LocationNumber","SRID","Latitude","Longitude","Northing","Easting","Accuracy","ElevationMetresAboveSeaLevel","WaterTable","SampleDepth","BottomOfHole","SamplesCollected","Notes","Photos","Sketches","HoleType","HoleLining","HoleOpenClosed","PipesInHole","HoleAngle","EstimatedAngle","OutflowPresent","SamplingIssues","Temperature","Conductivity","PreferredPH","PreferredEh","PreferredPHTime","PreferredEhTime","geospatialcolumn"
"1000031559609517099","sjt-W-0023-04Jun.2019","Steve Trigg","2019-06-04 00:52:19.550 GMT","Steve Trigg","2019-06-04 01:22:56 GMT","sjt","W","0023","","04Jun.2019","04/06/2019","Steve Trigg","Manuka Station","Minex south cobar","MXSC","","Sampling Location","","28356","-32.2177909220391","145.737440590476","6434724.46196825","381023.082951961","4.0","269","79.5","84.5","","Cations - Anions - Alkalinity","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0023_04Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","","Vertical","90","No Observation","","20.56","7000","7.1","137.16958","4-Jun.-19 11:11:11 AEST","4-Jun.-19 11:04:47 AEST","POINT(381023.082952 6434724.461968)"
"1000031559612583166","sjt-W-0024-04Jun.2019","Steve Trigg","2019-06-04 01:43:06.810 GMT","Steve Trigg","2019-06-04 02:08:52 GMT","sjt","W","0024","","04Jun.2019","04/06/2019","Steve Trigg","Manuka Station","Minex south cobar","MXSC","MXSCSJT0024","Sampling Location","","28355","-32.2302235546842","145.752847934049","6433363.16476104","382491.089471005","6.0","265","52.3","57.3","","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0024_04Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","Poly Pipes","Vertical","90","No","","20.3","116600","6.78","-45.3","4-Jun.-19 12:06:42 AEST","4-Jun.-19 12:03:25 AEST","POINT(382491.089471 6433363.164761)"
"1000031559612597040","sjt-W-0025-04Jun.2019","Steve Trigg","2019-06-04 01:43:32.451 GMT","Steve Trigg","2019-06-04 03:11:02 GMT","sjt","W","0025","","04Jun.2019","04/06/2019","Steve Trigg","Manuka Station","Minex south cobar","MXSC","MXSCSJT0025","Sampling Location","","28355","-32.2529407293985","145.753954399274","6430845.99259209","382624.573015895","4.0","240","43.4","48.4","","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0025_04Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0025_04Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","Poly Pipes","Vertical","90","No","","21.31","16530","6.64","-33.2","4-Jun.-19 13:07:48 AEST","4-Jun.-19 13:04:03 AEST","POINT(382624.573016 6430845.992592)"
"1000031559617910471","sjt-W-0026-04Jun.2019","Steve Trigg","2019-06-04 03:11:58.631 GMT","Steve Trigg","2019-06-04 04:00:42 GMT","sjt","W","0026","","04Jun.2019","04/06/2019","Steve Trigg","Manuka Station","Minex south cobar","MXSC","","Sampling Location","","28355","-32.2670100828652","145.758598398009","6429291.35678538","383080.100219106","6.0","233","44.16 (taken at monitoring bore 8 m away from pumped bore)","","","Cations - Anions - Alkalinity - Carbon (1L)","Called bore No. 2 by company. Sample taken at valve 20 m away from bore.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0026_04Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0026_04Jun_2019_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0026_04Jun_2019_3.jpg''}}","","Flowing Bore","Metal","Closed/covered","Metal Pipes","Vertical","90","No","","24.38","17060","6.98","-24.0","4-Jun.-19 13:59:05 AEST","4-Jun.-19 13:45:20 AEST","POINT(383080.100219 6429291.356785)"
"1000031559627974744","sjt-W-0028-04Jun.2019","Steve Trigg","2019-06-04 05:59:53.936 GMT","Steve Trigg","2019-06-04 06:12:36 GMT","sjt","W","0028","","04Jun.2019","04/06/2019","Steve Trigg","Mirabooka","Minex south cobar","MXSC","MXSCSJT0028","Sampling Location","","28355","-32.3272651512387","145.86345506168","6422721.08640498","393027.29108754","4.0","264","40.9","45.9","c.130","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0028_04Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","Vertical","90","No","Bailed from a flowing windmill (access issues, no wind etc.)","20.09","10920","6.66","59.3","4-Jun.-19 16:09:46 AEST","4-Jun.-19 16:03:04 AEST","POINT(393027.291088 6422721.086405)"
"1000031559630361371","sjt-W-0029-04Jun.2019","Steve Trigg","2019-06-04 06:39:26.156 GMT","Steve Trigg","2019-06-04 06:54:20 GMT","sjt","W","0029,supposed to be 0027","","04Jun.2019","04/06/2019","Steve Trigg","Mirabooka","Minex south cobar","MXSC","MXSCSJT0027","Sampling Location","","28355","-32.3368121341933","145.837665807791","6421636.68065942","390611.324040465","4.0","242","29.38","34.38","","Cations - Anions - Alkalinity - Carbon (1L)","THIS IS Sample 0027","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0029_04Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","Vertical","90","No","","19.5","33380","6.76","445.9","4-Jun.-19 16:53:54 AEST","4-Jun.-19 16:44:04 AEST","POINT(390611.32404 6421636.680659)"
"1000031559691231378","sjt-CR-0002-05Jun.2019","Steve Trigg","2019-06-04 23:33:53.362 GMT","Steve Trigg","2019-06-04 23:33:53 GMT","sjt","CR","0002","","05Jun.2019","05/06/2019","Steve Trigg","Mirrabooka","Minex south cobar","MXSC","","","","28355","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000031559691328920","sjt-W-0030-05Jun.2019","Steve Trigg","2019-06-04 23:35:42.026 GMT","Steve Trigg","2019-06-05 00:08:25 GMT","sjt","W","0030","","05Jun.2019","05/06/2019","Steve Trigg","Killala","Minex south cobar","MXSC","MXSCSJT0030","Sampling Location","","28355","-31.991682472262","145.973609693899","6460026.1057718","403040.906532322","6.0","252","23.56","28.56","","Cations - Anions - Alkalinity - Carbon (1L)","Metal pipe elbow in top of hole covering bore.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0030_05Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","Vertical","90","No","","20.45","1036","6.84","212.7","5-Jun.-19 10:00:55 AEST","5-Jun.-19 09:45:06 AEST","POINT(403040.906532 6460026.105772)"
"1000031559699432348","sjt-W-0031-05Jun.2019","Steve Trigg","2019-06-05 01:50:51.809 GMT","Steve Trigg","2019-06-05 01:59:09 GMT","sjt","W","0031","","05Jun.2019","05/06/2019","Steve Trigg","Nymagee station","Minex south cobar","MXSC","MXSCSJT0031","Sampling Location","","28355","-31.9617916025827","146.240580037878","6463547.64756978","428238.064477722","6.0","315","22","27","","Cations - Anions - Alkalinity - Carbon (1L)","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0031_05Jun_2019_1.jpg''}}","","Still Bore (Bailed)","Rusty","Closed/covered","Poly Pipes","Vertical","90","No","","20.57","11630","6.68","72","5-Jun.-19 11:57:08 AEST","5-Jun.-19 11:58:54 AEST","POINT(428238.064478 6463547.64757)"
"1000031559705502074","sjt-W-0032-05Jun.2019","Steve Trigg","2019-06-05 03:32:01.335 GMT","Steve Trigg","2019-06-05 03:49:52 GMT","sjt","W","0032","","05Jun.2019","05/06/2019","Steve Trigg","Hillview station (Should be Hillview Station)","Minex south cobar","MXSC","MXSCSJT0032","Sampling Location","","28356","-32.1027340468492","146.341972345059","6428706.94762597","-128803.191276932","4.0","320","46.33","51.33","","Cations - Anions - Alkalinity - Carbon (1L)","MXSCSJT0032 - Hillview Station","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0032_05Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0032_05Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Open/uncovered","Poly Pipes","Vertical","90","No","","21.09","5622","7.08","-17.2","5-Jun.-19 13:44:31 AEST","5-Jun.-19 13:44:38 AEST","POINT(437914.575405 6447987.44795)"
"1000031559706968607","sjt-W-0033-05Jun.2019","Steve Trigg","2019-06-05 03:56:13.851 GMT","Steve Trigg","2019-06-05 04:12:58 GMT","sjt","W","0033","","05Jun.2019","05/06/2019","Steve Trigg","Hillview station","Minex south cobar","MXSC","MXSCSJT0033 ","Sampling Location","","28355","-32.1027297826593","146.342017887425","6447987.94685168","437918.86956069","6.0","319","46.1","51.1","","Cations - Anions - Alkalinity - Carbon (1L)","duplicate analysis of previous sample","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0033_05Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0033_05Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Open/uncovered","","Vertical","90","No","","21.11","5666","7.14","-6.1","5-Jun.-19 14:01:03 AEST","5-Jun.-19 14:01:03 AEST","POINT(437918.869561 6447987.946852)"
"1000031559710562448","sjt-W-0034-05Jun.2019","Steve Trigg","2019-06-05 04:56:07.684 GMT","Steve Trigg","2019-06-05 05:15:56 GMT","sjt","W","0034","","05Jun.2019","05/06/2019","Steve Trigg","Hera roadside hole","Minex south cobar","MXSC","","Sampling Location","","28355","-32.0968348579828","146.309987312044","6448622.49165954","434892.515012105","4.0","308","57.07","62","","Cations - Anions - Alkalinity - Carbon (1L)","Monitoring bore hole near dam. Hay Caddaye property. (Hay Caddaye property name)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0034_05Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/sjt_W_0034_05Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Closed/covered","No pipes/clear","Vertical","90","No","","20.74","6269","7.14","126.2","5-Jun.-19 14:59:19 AEST","5-Jun.-19 15:07:08 AEST","POINT(434892.515012 6448622.49166)"
"1000031559774337188","sjt-W-0035-06Jun.2019","Steve Trigg","2019-06-05 22:39:07.558 GMT","Steve Trigg","2019-06-05 22:39:07 GMT","sjt","W","0035","","06Jun.2019","06/06/2019","Steve Trigg","Hera roadside hole","Minex south cobar","MXSC","","","","28355","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1000031559774456619","ksh-W-0001-06Jun.2019","Steve Trigg","2019-06-05 22:41:07.479 GMT","Steve Trigg","2019-06-05 22:52:30 GMT","ksh","W","0001","","06Jun.2019","06/06/2019","Steve Trigg","gowrie ","Minex north cobar","MXNC","","Sampling Location","","28355","-31.5173832492666","145.545833154377","6512140.61711411","361924.81534272","4.0","","","","","Cations - Anions - Alkalinity - Carbon (1L)","dam sample to please owner. Temp and eh likely affected by distance from dam to instruments.","","","Other","","Open/uncovered","","","","","","9.5","73","7.56","73","6-Jun.-19 08:50:55 AEST","6-Jun.-19 08:47:12 AEST","POINT(361924.815343 6512140.617114)"
"1000031559775723062","ksh-W-0002-06Jun.2019","Steve Trigg","2019-06-05 23:02:13.324 GMT","Steve Trigg","2019-06-05 23:24:19 GMT","ksh","W","0002","","06Jun.2019","06/06/2019","Steve Trigg","gowrie ","Minex north cobar","MXNC","","Sampling Location","","28355","-31.5174111543866","145.545850239893","6512137.54535209","361926.478844541","6.0","888558585885538.5909985533","   g8yunv n vv 7nv  ?  f m","","","","","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/ksh_W_0002_06Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/ksh_W_0002_06Jun_2019_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/ksh_W_0002_06Jun_2019_3.jpg''}}","","Flowing Bore","Poly pipe/plastic","","Poly Pipes","Vertical","90","","Sampled from outflow of tank","9.85","2418","7.35","94.3","6-Jun.-19 09:13:58 AEST","6-Jun.-19 09:17:08 AEST","POINT(361926.478845 6512137.545352)"
